sampleID	P167_261-Asymptomatic-0-216-0-lipid	P168_262-Asymptomatic-0-217-0-lipid	P166_260-Asymptomatic-0-215-0-lipid	P175_269-Asymptomatic-0-224-0-lipid	P164_258-Asymptomatic-0-213-0-lipid	P161_255-Asymptomatic-0-210-0-lipid	P162_256-Asymptomatic-0-211-0-lipid	P169_263-Asymptomatic-0-218-0-lipid	P170_264-Asymptomatic-0-219-0-lipid	P060_147-Mild-0-133-0-lipid	P047_142-Mild-0-132-0-lipid	P040_145-Mild-0-131-0-lipid	P033_150-Mild-0-130-0-lipid	P088_144-Severe-0-136-0-lipid	P066_153-Mild-0-135-0-lipid	P061_149-Mild-0-134-0-lipid	P005_164-Asymptomatic-0-139-0-lipid	P001_158-Asymptomatic-0-138-0-lipid	P109_034-Severe-1-24-0-lipid	P119_036-Severe-1-26-1-lipid	P073_029-Death-1-27-1-lipid	P080_027-Death-0-21-1-lipid	P094_031-Severe-0-23-0-lipid	P076_025-Death-0-28-1-lipid	P057_188-Mild-0-163-0-lipid	P178_272-Asymptomatic-0-227-0-lipid	P027_148-Mild-0-120-0-lipid	P029_099-Mild-0-121-0-lipid	P039_140-Mild-0-122-0-lipid	P063_154-Mild-0-123-0-lipid	P081_139-Death-6-124-6-lipid	P118_138-Severe-3-126-3-lipid	P004_146-Mild-0-127-0-lipid	P016_143-Mild-0-128-0-lipid	P031_151-Mild-0-129-0-lipid	P050_069-Mild-0-59-0-lipid	P014_121-Mild-0-58-0-lipid	P097_063-Severe-1-57-1-lipid	P104_055-Severe-0-51-1-lipid	P018_065-Mild-0-53-0-lipid	P084_052-Critical-1-52-1-lipid	P150_244-Asymptomatic-0-199-0-lipid	P149_243-Asymptomatic-0-198-0-lipid	P146_240-Asymptomatic-0-195-0-lipid	P145_239-Asymptomatic-0-194-0-lipid	P147_241-Asymptomatic-0-196-0-lipid	P141_235-Asymptomatic-0-190-0-lipid	P144_238-Asymptomatic-0-193-0-lipid	P143_237-Asymptomatic-0-192-0-lipid	P070_102-Mild-0-115-0-lipid	P115_024-Severe-1-114-0-lipid	P086_136-Critical-2-116-2-lipid	P013_129-Mild-0-110-0-lipid	P074_075-Death-4-69-4-lipid	P156_250-Asymptomatic-0-205-0-lipid	P102_087-Severe-3-80-2-lipid	P095_092-Severe-2-84-2-lipid	P194_288-Asymptomatic-0-240-0-lipid	P108_120-Severe-3-100-2-lipid	P090_125-Severe-3-105-2-lipid	P096_040-Severe-0-38-1-lipid	P025_041-Mild-0-32-0-lipid	P117_026-Severe-1-31-0-lipid	P111_035-Severe-1-30-1-lipid	P093_039-Severe-1-37-1-lipid	P067_067-Mild-0-60-0-lipid	P082_071-Death-5-63-5-lipid	P020_072-Mild-0-64-0-lipid	P130_224-Asymptomatic-0-179-0-lipid	P129_223-Asymptomatic-0-178-0-lipid	P127_221-Asymptomatic-0-176-0-lipid	P126_220-Asymptomatic-0-175-0-lipid	P125_219-Asymptomatic-0-174-0-lipid	P124_218-Asymptomatic-0-173-0-lipid	P123_217-Asymptomatic-0-172-0-lipid	P122_216-Asymptomatic-0-171-0-lipid	P087_214-Critical-7-170-7-lipid	P154_248-Asymptomatic-0-203-0-lipid	P134_228-Asymptomatic-0-183-0-lipid	P131_225-Asymptomatic-0-180-0-lipid	P049_006-Mild-0-2-0-lipid	P072_007-Death-2-6-1-lipid	P139_233-Asymptomatic-0-188-0-lipid	P140_234-Asymptomatic-0-189-0-lipid	P153_247-Asymptomatic-0-202-0-lipid	P136_230-Asymptomatic-0-185-0-lipid	P180_274-Asymptomatic-0-229-0-lipid	P179_273-Asymptomatic-0-228-0-lipid	P085_213-Critical-6-164-6-lipid	P177_271-Asymptomatic-0-226-0-lipid	P098_108-Severe-2-92-0-lipid	P062_068-Mild-0-95-0-lipid	P010_168-Mild-0-162-0-lipid	P112_113-Severe-2-96-0-lipid	P171_265-Asymptomatic-0-220-0-lipid	P092_020-Severe-0-17-0-lipid	P091_021-Severe-0-16-0-lipid	P099_019-Severe-0-18-0-lipid	P077_107-Death-5-89-5-lipid	P113_199-Severe-2-151-0-lipid	P071_202-Mild-0-153-0-lipid	P003_200-Mild-0-152-0-lipid	P107_204-Severe-2-154-2-lipid	P045_171-Mild-0-159-0-lipid	P034_178-Mild-0-158-0-lipid	P189_283-Asymptomatic-0-238-0-lipid	P190_284-Asymptomatic-0-239-0-lipid	P185_279-Asymptomatic-0-234-0-lipid	P186_280-Asymptomatic-0-235-0-lipid	P187_281-Asymptomatic-0-236-0-lipid	P188_282-Asymptomatic-0-237-0-lipid	P181_275-Asymptomatic-0-230-0-lipid	P182_276-Asymptomatic-0-231-0-lipid	P183_277-Asymptomatic-0-232-0-lipid	P184_278-Asymptomatic-0-233-0-lipid	P075_053-Death-3-48-3-lipid	P105_047-Severe-1-46-1-lipid	P078_030-Death-2-42-0-lipid	P079_045-Death-0-43-0-lipid	P028_004-Mild-0-1-0-lipid	P042_167-Mild-0-146-0-lipid	P051_160-Mild-0-147-0-lipid	P056_176-Mild-0-144-0-lipid	P032_170-Mild-0-145-0-lipid	P030_141-Mild-0-142-0-lipid	P055_174-Mild-0-143-0-lipid	P015_163-Mild-0-140-0-lipid	P026_169-Mild-0-141-0-lipid	P160_254-Asymptomatic-0-209-0-lipid	P159_253-Asymptomatic-0-208-0-lipid	P083_083-Death-3-75-3-lipid	P110_079-Severe-0-73-0-lipid	P103_080-Severe-0-72-1-lipid	P100_093-Severe-0-79-1-lipid	P019_095-Mild-0-78-0-lipid
0.8_619.289060155488	5768106.071	8073047.578	6596293.732	5047098.447	3863000.057	4970051.004	5137302.156	5541764.794	3725602.929	7803156.616	5550228.468	3508686.592	4835078.123	4978492.589	7993502.719	5528422.67	5976780.399	8125756.981	5048662.954	4735904.369	8719457.448	6990740.16	9158825.441	7618466.493	4768500.836	5960600.357	10248054.11	5997765.328	10333557.3	6767302.17	15736374.46	6035995.783	17008895.33	9707366.402	7126467.833	4370723.185	5972009.999	6669436.993	16875226.89	3368954.198	5083289.779	6874314.47	4328540.485	5469390.891	3095911.946	3014327.936	2994566.038	4292410.548	2831428.031	3832448.933	5402088.485	5698729.315	4755285.578	5719363.14	4179207.246	4062308.74	4637058.928	4203193.492	3696837.631	5110868.815	5760462.59	6761083.8	7636643.144	6179976.691	5154020.013	2295497.331	10816441.26	5923055.396	3639692.821	3264876.375	4884148.612	4819869.887	4497107.909	7029652.252	7778772.152	4340226.996	37097117.11	5097398.559	3844986.921	2747465.612	5437450.791	9701515.729	3902284.663	3210111.825	4443506.83	2598418.659	4479978.301	6868177.255	7592364.608	6219275.611	3651905.688	5314005.738	4021824.041	4020914.971	6235310.855	3755038.895	3742684.121	6074583.549	8293374.356	4089606.861	4608785.143	4762532.454	3256074.519	3961933.885	4787789.022	3399331.464	2873061.812	5633366.528	2430574.762	3542106.396	3280747.761	4985924.102	3319762.234	3356907.056	3370078.982	6185718.341	7754617.047	3428829.079	11453110.15	7037460.017	6856613.11	3420484.189	2666334.283	4373764.64	4459501.762	6536623.691	4368537.795	5672995.544	4836584.915	2943737.238	13332053.01	5175826.754	11411324.85	2096584.333	6255857.095
0.82_621.303446667683	2766023.688	4002681.872	3220400.25	2416218.838	1826377.824	1952952.013	2100021.049	2490575.62	1802377.691	4225807.582	5058381.343	3604387.096	2563983.584	2652355.941	4120077.505	3536430.267	3099185.031	4978875.407	2773190.047	2174991.478	3365810.764	4010610.353	5282368.899	4397978.59	2821143.366	2858892.883	5426852.398	3385883.196	5452515.578	5377550.67	9087480.051	3104073.675	7653506.703	5387922.966	3695779.831	2052249.028	3110140.921	3209027.81	9909778.965	1866843.535	2471374.794	4664775.613	1368058.778	2449395.579	1394021.037	1107281.126	1324855.268	1992224.199	994398.8143	2212930.311	2892697.854	3070992.469	2376177.619	2090168.168	1796895.82	2330421.178	2603548.799	1884666.521	1899724.884	2534466.102	2967540.669	4420523.976	4523578.867	2610780.37	2859067.264	1035502.346	5980545.002	3328579.554	1254692.034	1525971.658	1948944.756	2141486.838	1934513.362	3555393.424	3146861.247	1877852.218	20441568.28	2190101.995	1548513.745	1223594.309	2890173	5807503.887	1515529.844	1564087.589	1817329.319	1449094.42	1687458.895	3252091.367	4125848.233	3385696.942	1870022.286	3019404.011	2506910.249	1841273.499	2690178.178	2035404.204	2238236.843	2887577.435	4215979.748	2285621.061	2333962.471	3421517.701	1691733.429	1974937.535	2099613.59	1672903.338	1368668.211	2920547.022	1279995.723	1744284.248	1474714.256	2664780.369	1695223.019	1737020.445	1869692.382	3145765.82	4294510.935	2080425.741	5563973.119	3908103.28	4898176.582	1697899.344	1623599.939	2488443.918	2731810.845	3036880.528	2321819.709	2661266.128	1802847.65	998519.8222	6835241.957	3595443.036	6258934.564	737371.5272	3779473.307
0.83_595.28922089939	3578573.476	4623146.739	5698889.074	3259404.774	2298158.316	2441561.474	3498060.252	3903333.951	1699524.213	5158894.115	3208892.759	2098342.63	3453744.113	3315202.649	3554811.914	3800503.057	4131564.886	2975408.444	2612170.354	3883893.041	8468304.475	3355741.732	3987927.844	5794153.59	2807704.094	3872463.543	5957260.631	4610352.775	4585476.279	2637540.345	6587617.024	2718268.701	6868263.692	6038939.882	4442602.813	3486289.181	4090945.04	6153202.784	7708928.839	2242842.226	4460947.943	3247474.994	4215805.272	3782319.881	2858792.723	2174753.279	1877241.609	2830356.473	1829930.827	3198912.865	2466989.599	1995874.624	2446881.715	2780255.1	2532820.833	2306382.588	2480825.649	3197654.861	2418867.964	2623937.622	3942700.387	5661419.823	4096601.969	4694755.659	3264615.66	1527616.074	6946404.302	2242113.788	1882918.972	2267684.859	3454378.219	3369222.32	2810492.426	4192248.761	3309938.593	2682862.293	17371186.51	3283470.972	2478523.948	2109359.452	2210663.757	2995084.975	1827204.339	2253379.038	3017336.681	1482354.923	4095359.521	5503237.773	6395363.985	3734456.63	2329437.893	3775092.275	1685340.398	3002409.573	4157650.002	1639760.642	2355495.19	3132298.22	8015225.312	2087175.85	3103920.203	2471764.253	2305277.404	1368459.244	2711572.163	2065491.614	1354471.912	3432327.407	1414284.878	2185520.584	2004087.18	3363353.283	2024245.151	1947309.189	2055440.075	3720577.367	5218142.712	2483365.95	7516940.552	3341099.464	3555644.148	1407121.392	1356845.15	3249411.583	2572672.394	4170995.25	2925301.216	3640140.414	2470028.134	1997826.296	6468985.296	2744163.278	4707299.133	1196703.471	3459943.833
0.84_597.303444115854	1952281.926	2487104.145	2885947.722	1590397.81	1167394.172	1118131.386	1601124.72	2113734.146	795901.0523	3460023.805	3118323.256	2552864.47	2238653.154	2089180.524	2284279.979	2598096.402	2686056.001	2064094.031	1899641.321	2369943.162	3991851.055	2577942.285	2530227.265	4504251.463	1875866.068	1941431.651	3428748.231	3031548.403	2540526.108	2621803.644	4462817.726	1523308.361	3789329.781	3960720.642	2410636.222	1894353.618	2269915.436	3468600.619	5089460.757	1343571.473	2317784.879	2471658.075	2019764.067	1858105.173	1315329.313	1122343.672	1053504.812	1445052.774	875798.098	1912901.172	1627232.162	1608544.108	1498676.41	1078158.927	1161600.491	1262683.34	1490843.309	1590433.253	1406141.057	1507893.332	1933228.537	4125099.015	2593838.045	2439430.258	1689715.339	889895.3389	3869635.671	1652412.988	942044.939	901852.2082	1465698.136	1686851.416	1384364.379	2116945.083	1611482.485	1434033.518	10122569.09	1503255.645	1126733.252	905669.4044	1439864.158	2325758.433	785413.621	1189330.675	1299773.854	848744.7316	1794113.113	2912778.477	4319330.948	1950072.857	1313369.54	2224532.379	1393425.743	1628783.561	2196912.352	1069102.07	1365228.813	1740679.298	4237099.742	1159617.033	1608668.158	1904856.198	1416347.736	805915.9068	1569099.102	1076801.535	657664.4658	1738751.565	708307.6167	1086964.138	1186288.215	2030891.364	1032822.05	1057910.179	1231405.557	2150432.226	3173728.975	1352842.075	3817615.143	2274856.915	2421408.075	723131.7085	915637.0642	1775645.482	1587207.446	2287616.36	1791953.032	2198361.047	1157508.049	954403.4288	3882434.9	2066536.982	2958942.813	535001.704	2238849.908
0.88_492.308473115854	7619705.213	5777929.689	6800877.21	8048936.053	9717789.737	8889627.2	4683142.573	6888844.065	7033127.177	6271871.573	7566242.239	5904609.832	6012544.41	5402212.889	5937125.574	6471620.54	5145807.031	6870046.838	7360798.092	8112486.397	6642291.288	6397655.606	7211469.42	7946718.417	6428562.6	6925249.944	4965679.131	9288447.312	5534166.919	7663403.439	1887445.747	10329781.21	7406915.88	4481152.886	6910580.958	7026406.851	6089053.073	6922297.365	8640871.304	6317579.626	6883482.96	8740877.2	7319972.989	9989031.201	5021254.35	7022883.245	4456473.287	6148586.44	6784830.469	4801621.491	6637783.902	5102324.258	6728048.128	2040056.796	3656114.455	5003318.966	7874416.776	7136475.017	5890202.369	7582596.936	4871404.623	6499587.462	6830277.568	4047936.275	7358710.145	7038952.416	3680648.106	7025243.562	5568802.905	9614969.706	9008999.422	6625870.135	10009130.17	4571366.947	7744146.813	9112948.149	9537494.694	4807924.632	7947859.615	6467576.423	5027449.8	2470417.887	7227282.597	7072559.571	6432401.499	5264095.366	8574786.962	8323260.584	4323298.517	9175276.142	9464983.942	7825037.292	7770926.302	4522630.806	7038574.641	7553903.665	4242823.926	5037569.102	4254171.828	4985115.083	5696092.328	7351945.586	5299564.971	3779239.007	4978565.6	6089124.219	11734316.57	5210613.516	6860175.656	7514708.322	6576320.209	9571188.795	5827306.031	5109394.419	6452681.618	3020060.066	5793020.558	635066.8253	6570257.473	5207348.024	8475859.294	7657091.258	8624081.654	6556493.254	7272834.161	7276925.404	8012844.202	6434473.367	6708168.189	5111329.491	3688204.368	8526390.249	7206543.622	6912300.194	8741324.16
0.88_586.315289417683	4339424.911	2815523.913	2059027.28	4219656.463	4149341.914	3466579.617	3785678.13	2399833.405	4400847.312	2528965.613	4448356.94	1754946.163	1890679.328	3175952.198	5105086.991	2300247.676	3107480.742	4610503.984	3908737.171	2838682.666	6187416.513	2301021.422	14360672.24	3375989.564	2679350.83	1929073.683	5686817.474	3209926.448	6499991.383	5915884.811	2109561.614	5156114.136	5680759.403	1944612.46	2584388.219	2179379.78	7133426.537	1816845.869	3213524.232	1354369.488	3698648.45	4658231.229	1015440.788	2408679.35	565771.2633	1038073.284	1914199.998	3430406.946	1820702.266	860872.8722	2913735.182	8905319.175	2104145.371	1065649.301	3214240.071	3551024.185	4022650.697	4939197.496	2647744.156	1939561.55	4374117.432	2150927.596	6328912.21	1630110.925	4487802.245	2512948.049	4387391.421	8262647.189	3832353.719	2231446.779	2709288.398	2213742.781	1995506.387	2160838.72	2555158.949	1992187.615	7885580.59	3110483.381	3803809.919	3639602.489	1572950.073	2974597.381	1656402.864	2073392.574	3175657.537	1031285.017	3669082.127	8638044.266	2123312.21	9580441.497	1928779.55	1929907.231	3669415.834	4291538.447	3318759.837	5189564.099	4260486.143	3893367.112	1124541.938	2012875.897	3701439.131	4719367.802	5918757.499	2342375.065	1090058.291	2179815.909	2427686.471	2310974.694	6518329.732	4339538.859	2822126.191	7306402.512	2581511.472	4770164.392	4158433.961	1515136.741	5003207.76	318880.3449	1500019.848	2605722.965	1717114.601	6439420.482	1366488.118	1611021.119	1741552.189	8793837.231	1733906.87	1495143.097	2918744.61	3183749.589	1814081.572	1834260.198	7062423.859	2348182.654	2870632.754
0.89_621.304564969512	935862.5789	1518288.772	2230208.442	715688.1864	839850.5486	749832.4655	715361.7409	968854.3212	375748.098	1259597.876	1145915.485	592466.8348	1097149.61	773190.0555	1521885.464	1187059.671	1474106.311	1236958.476	1364327.675	1175797.107	1283136.14	1164528.633	1688634.838	1355958.867	712282.3505	1701944.501	1929095.252	1241021.255	1559929.78	1605062.567	1083504.891	704471.9855	2263673.223	1349939.24	1356774.353	401418.9063	1120929.298	1969829.416	2091961.268	554484.6047	1761107.79	1391444.068	1619539.212	1127573.361	664534.0406	529097.8401	487296.6659	958995.0064	589203.3577	744634.1297	1061504.846	1009592.546	610259.8811	493089.4216	832062.7364	813450.722	756398.6328	567104.0416	829718.4145	1129121.263	1263658.638	731518.0041	889329.636	704832.7223	1233141.915	423469.5423	1500735.865	1328821.802	655792.5374	696360.3484	860309.0329	915095.4618	1048786.459	1191384.67	1809597.918	670905.9409	4029252.818	1843055.011	694962.4835	579626.6139	468368.1839	1291320.452	551488.3264	637380.5956	1065441.146	166635.5668	1114986.304	1637684.334	1272035.2	1123552.942	460181.8182	1528115.014	1041256.894	1015888.227	1099378.165	1052598.682	679179.336	877061.562	1515957.419	858342.4713	1297351.993	877645.6729	677826.4495	411982.0551	976066.3895	739165.9264	389412.5675	983888.7264	440634.9192	426695.1327	692880.662	1075482.496	648808.3967	417000.7244	504677.9904	703307.1095	1271623.272	469864.7211	1201377.816	1632725.409	779502.2228	505596.1246	532117.6434	1016098.012	893403.5546	1432192.89	399506.7619	969250.9823	722122.007	505153.3539	732458.1628	1173110.578	1727235.656	345225.0706	1353430.505
0.9_500.277172768293	1814476.281	1210293.481	854777.4944	2489254.99	2287075.768	1118339.933	2422046.911	1176765.16	1933416.921	872016.2473	2855534.672	1069560.533	974082.9873	1328806.338	1707751.989	1016973.117	1344414.848	1486377.309	2443674.15	1537362.707	2023065.524	2269980.083	6554461.094	4614301.811	1011439.031	1062943.718	1619621.711	1530622.775	1180172.507	2617131.858	1202163.922	1562585.934	1777531.108	832239.6589	931478.0224	1827423.268	1756288.614	666735.3136	1492782.743	672939.9358	1801868.126	2697214.017	466280.514	856843.8457	328816.2708	536654.3791	819643.8794	1856697.702	751497.4148	647791.008	1028337.752	3349182.037	966616.6728	680740.977	1404810.361	1875281.245	1773312.673	2618927.092	1527503.061	436923.5579	1820603.339	1077828.983	2481820.089	538450.7817	2928455.611	1300959.177	6060711.911	2874375.219	1440586.906	684102.148	1345192.474	929119.3394	1229287.828	674325.6122	936222.6634	834269.7601	12737537.97	1961556.655	1666745.632	2285272.395	1230082.702	1047543.742	676261.4447	1077392.402	1418542.765	717719.8696	1459586.187	3293025.145	3365096.858	3830942.332	1557887.622	1245022.734	2065593.794	3064223.162	1672245.817	3267543.527	3337364.879	1443854.269	1399235.631	822556.229	1715249.495	2749879.063	5029988.614	665937.5501	784051.0665	1456715.785	665341.992	794049.7353	4012754.078	1519987.487	1450024.413	2668538.232	988908.1674	1480084.628	1510353.526	798374.3398	1638020.951	402320.1459	977529.291	1584799.948	758996.1016	2260141.775	900271.0656	627054.6744	436980.3966	3119163.011	723447.137	513867.136	1266357.615	1262620.48	1470097.3	1156882.493	4594097.015	904851.3617	2039036.689
0.9_562.31524317378	7597495.744	7537391.506	11108912.54	9487433.507	10433743.3	7666348.224	8623168.719	6152289.729	6407822.711	6048937.549	9160011.94	3968018.507	6747374.814	7594087.894	6152866.702	5436520.277	5756422.729	6550343.725	11282974.06	14596949.78	4155570.709	4414999.491	19706948.71	9819591.494	5814135.135	7913971.411	6178486.874	5869469.219	6699552.4	8033991.36	1020432.351	5664268.444	10375252.55	5119394.402	6420244.195	8804062.665	9574750.54	6338380.676	5230267.029	7716037.101	10523145.56	8224628.151	7180160.018	8469018.253	4324864.303	10260171.51	7174215.03	8987084.727	6010662.557	2793383.039	4247527.246	2270694.279	6976154.255	2006457.531	4059106.667	5722437.298	7319430.265	9352560.485	5734585.947	4377393.203	8854515.444	6179006.853	10181419.17	6907072.219	8449035.84	8901782.643	4161970.42	10787783.05	3510178.987	8484980.165	7143659.34	4336220.093	11097930.61	5110707.23	6908504.688	7140715.577	11777410.35	9075084.527	10497266.75	8078079.326	4389229.266	1304413.85	7436123.057	6988722	9104976.201	5649818.858	8493144.03	16588176.72	5059157.069	14816716.93	7579399.524	10134963.76	7408276.518	6739880.497	6620603.975	9667978.992	7161489.132	7682740.026	3994994.773	3172454.959	8122289.338	6512881.161	12795719.88	3956380.903	4559353.667	4632925.278	10552256.42	3730552.882	8599398.46	5786300.917	5185243.991	13730357.71	4292510.359	3677027.343	5001759.182	1512539.12	10182795.36	539718.8898	5477971.139	7420186.351	4549320.055	6059665.933	5884983.876	3910262.773	4672880.964	12555981.93	4792323.849	3863176.797	9048652.598	10038622.14	5960756.143	6690065.934	11730045.92	8331744.762	6808731.464
0.91_457.236133082317	11988192.64	9657600.577	10315131.16	4474707.436	4801203.79	4930563.892	4899426.436	7423596.975	7284769.649	280718.0551	411166.4671	357201.8813	414634.022	388144.0738	718456.3067	529285.0701	476801.1617	550779.5413	1517035.895	656572.4301	1114763.248	1173034.954	653771.1468	707112.313	386598.6569	4312513.248	406862.9911	960281.6245	740340.7884	327248.9545	2479763.862	2686468.036	520998.8123	424155.2969	857834.9891	440628.3876	526747.892	595959.0503	410077.6383	1159540.099	559201.7467	6416036.968	14989627.08	8026301.599	4271509.042	7614120.105	10767435.58	3544834.231	11587774.44	387329.3511	262587.7886	396430.5336	1269281.239	449328.4827	4352541.148	867467.584	821219.6456	683517.0765	671483.7145	745575.1012	354318.5476	257409.8703	905514.7085	465143.2225	755012.4325	435064.0258	176261.147	334163.415	5205308.321	7751368.105	12374661.28	7994257.112	7485919.836	15595469.17	9626028.008	6645120.291	3246179.971	4375124.306	9367278.435	7002624.926	1260562.17	917545.0223	8105532.763	8000639.178	4812704.343	7797555.782	11516548.28	5492327.468	1509034.788	7692374.732	930091.2941	421273.2957	1663705.602	275312.1269	6176003.562	1156512.798	1140021.452	1224209.517	1574260.155	94398.75338	200337.1587	1164713.717	324825.8315	595020.147	710146.7008	80612.19096	443203.9342	282368.355	242197.0231	192443.3955	179880.4506	286341.0985	141671.2632	246038.0908	175853.1254	297345.5273	472140.3002	180499.2305	1164679.901	586539.6578	2058711.435	931999.4408	475330.2826	407016.3034	1522529.11	925375.1258	275665.0623	314068.1903	8110155.101	5523033.806	466596.4249	784627.2127	443349.0409	15540.85575	969441.5573
