sampleID	P167_261-Asymptomatic-0-216-0-pro	P168_262-Asymptomatic-0-217-0-pro	P166_260-Asymptomatic-0-215-0-pro	P175_269-Asymptomatic-0-224-0-pro	P164_258-Asymptomatic-0-213-0-pro	P161_255-Asymptomatic-0-210-0-pro	P162_256-Asymptomatic-0-211-0-pro	P169_263-Asymptomatic-0-218-0-pro	P170_264-Asymptomatic-0-219-0-pro	P060_147-Mild-0-133-0-pro	P047_142-Mild-0-132-0-pro	P040_145-Mild-0-131-0-pro	P033_150-Mild-0-130-0-pro	P088_144-Severe-0-136-0-pro	P066_153-Mild-0-135-0-pro	P061_149-Mild-0-134-0-pro	P005_164-Asymptomatic-0-139-0-pro	P001_158-Asymptomatic-0-138-0-pro	P109_034-Severe-1-24-0-pro	P119_036-Severe-1-26-1-pro	P073_029-Death-1-27-1-pro	P080_027-Death-0-21-1-pro	P094_031-Severe-0-23-0-pro	P076_025-Death-0-28-1-pro	P057_188-Mild-0-163-0-pro	P178_272-Asymptomatic-0-227-0-pro	P027_148-Mild-0-120-0-pro	P029_099-Mild-0-121-0-pro	P039_140-Mild-0-122-0-pro	P063_154-Mild-0-123-0-pro	P081_139-Death-6-124-6-pro	P118_138-Severe-3-126-3-pro	P004_146-Mild-0-127-0-pro	P016_143-Mild-0-128-0-pro	P031_151-Mild-0-129-0-pro	P050_069-Mild-0-59-0-pro	P014_121-Mild-0-58-0-pro	P097_063-Severe-1-57-1-pro	P104_055-Severe-0-51-1-pro	P018_065-Mild-0-53-0-pro	P084_052-Critical-1-52-1-pro	P150_244-Asymptomatic-0-199-0-pro	P149_243-Asymptomatic-0-198-0-pro	P146_240-Asymptomatic-0-195-0-pro	P145_239-Asymptomatic-0-194-0-pro	P147_241-Asymptomatic-0-196-0-pro	P141_235-Asymptomatic-0-190-0-pro	P144_238-Asymptomatic-0-193-0-pro	P143_237-Asymptomatic-0-192-0-pro	P070_102-Mild-0-115-0-pro	P115_024-Severe-1-114-0-pro	P086_136-Critical-2-116-2-pro	P013_129-Mild-0-110-0-pro	P127_221-Asymptomatic-0-176-0-pro	P156_250-Asymptomatic-0-205-0-pro	P102_087-Severe-3-80-2-pro	P095_092-Severe-2-84-2-pro	P194_288-Asymptomatic-0-240-0-pro	P108_120-Severe-3-100-2-pro	P090_125-Severe-3-105-2-pro	P096_040-Severe-0-38-1-pro	P025_041-Mild-0-32-0-pro	P117_026-Severe-1-31-0-pro	P111_035-Severe-1-30-1-pro	P093_039-Severe-1-37-1-pro	P067_067-Mild-0-60-0-pro	P082_071-Death-5-63-5-pro	P020_072-Mild-0-64-0-pro	P130_224-Asymptomatic-0-179-0-pro	P129_223-Asymptomatic-0-178-0-pro	P074_075-Death-4-69-4-pro	P126_220-Asymptomatic-0-175-0-pro	P125_219-Asymptomatic-0-174-0-pro	P124_218-Asymptomatic-0-173-0-pro	P123_217-Asymptomatic-0-172-0-pro	P122_216-Asymptomatic-0-171-0-pro	P087_214-Critical-7-170-7-pro	P154_248-Asymptomatic-0-203-0-pro	P134_228-Asymptomatic-0-183-0-pro	P131_225-Asymptomatic-0-180-0-pro	P049_006-Mild-0-2-0-pro	P072_007-Death-2-6-1-pro	P139_233-Asymptomatic-0-188-0-pro	P140_234-Asymptomatic-0-189-0-pro	P153_247-Asymptomatic-0-202-0-pro	P136_230-Asymptomatic-0-185-0-pro	P180_274-Asymptomatic-0-229-0-pro	P179_273-Asymptomatic-0-228-0-pro	P085_213-Critical-6-164-6-pro	P177_271-Asymptomatic-0-226-0-pro	P098_108-Severe-2-92-0-pro	P062_068-Mild-0-95-0-pro	P010_168-Mild-0-162-0-pro	P112_113-Severe-2-96-0-pro	P171_265-Asymptomatic-0-220-0-pro	P092_020-Severe-0-17-0-pro	P091_021-Severe-0-16-0-pro	P099_019-Severe-0-18-0-pro	P077_107-Death-5-89-5-pro	P113_199-Severe-2-151-0-pro	P071_202-Mild-0-153-0-pro	P003_200-Mild-0-152-0-pro	P107_204-Severe-2-154-2-pro	P045_171-Mild-0-159-0-pro	P034_178-Mild-0-158-0-pro	P189_283-Asymptomatic-0-238-0-pro	P190_284-Asymptomatic-0-239-0-pro	P185_279-Asymptomatic-0-234-0-pro	P186_280-Asymptomatic-0-235-0-pro	P187_281-Asymptomatic-0-236-0-pro	P188_282-Asymptomatic-0-237-0-pro	P181_275-Asymptomatic-0-230-0-pro	P182_276-Asymptomatic-0-231-0-pro	P183_277-Asymptomatic-0-232-0-pro	P184_278-Asymptomatic-0-233-0-pro	P075_053-Death-3-48-3-pro	P105_047-Severe-1-46-1-pro	P078_030-Death-2-42-0-pro	P079_045-Death-0-43-0-pro	P028_004-Mild-0-1-0-pro	P042_167-Mild-0-146-0-pro	P051_160-Mild-0-147-0-pro	P056_176-Mild-0-144-0-pro	P032_170-Mild-0-145-0-pro	P030_141-Mild-0-142-0-pro	P055_174-Mild-0-143-0-pro	P015_163-Mild-0-140-0-pro	P026_169-Mild-0-141-0-pro	P160_254-Asymptomatic-0-209-0-pro	P159_253-Asymptomatic-0-208-0-pro	P083_083-Death-3-75-3-pro	P110_079-Severe-0-73-0-pro	P103_080-Severe-0-72-1-pro	P100_093-Severe-0-79-1-pro	P019_095-Mild-0-78-0-pro
A1BG	52632.88734	78603.08251	198498.1602	13469.46791	55872.92352	199913.4579	60633.44401	103861.1551	17290.17008	7883.81556	27500.41158	26933.41787	21760.21318	175282.2946	15116.86796	10686.71508	245333.4711	36562.92199	184134.3961	108649.3261	200696.4052	45865.68862	125746.9969	37940.20491	19497.0532	201115.008	47587.33262	62448.77103	14516.26894	15491.68434	43473.46837	152701.8251	211232.1709	50730.4406	362681.9245	15275.57822	116050.8014	146815.5018	143133.0799	14606.14705	263975.0076	158620.2845	22888.30853	149404.4403	15110.51656	17016.4763	173883.1065	100414.2727	263758.0389	18999.84067	211230.7726	229529.6558	171585.2804	276669.1501	343100.1807	197653.9361	202631.3863	73638.80477	170222.1567	153289.2478	210651.6908	6992.624888	64614.85504	279857.4038	110404.6285	47332.31123	210637.9062	33794.60052	14233.21841	248722.5763	7398.569962	141557.9383	195169.2689	44185.8994	153121.3692	12776.65049	121604.0515	88664.78669	45635.30554	117223.0253	207955.5322	116401.0027	108067.9794	224223.3036	54754.17524	36677.2764	19571.08677	36694.05289	132462.6849	49733.62568	18596.81026	56040.35289	10642.17521	139583.0465	129654.3918	186958.1568	177163.6488	214759.1598	9962.904505	184053.2514	46733.21986	89466.94602	69731.99323	154115.1495	32061.05635	218364.6865	155151.8765	151453.2047	14514.16696	13462.17961	142482.424	121524.5958	184347.4801	112498.84	12370.77745	11258.88375	173658.8874	68376.03521	71653.8285	32621.04775	37341.8833	102096.1501	29809.19882	65118.40308	41212.95531	106471.3443	22398.59161	120475.4797	9416.092907	10387.98014	40541.91006	74656.81751	314407.6554	183893.6529	15595.46036
A2M	1239002.536	1221250.532	361401.2774	836370.4645	822311.1013	957911.395	301894.1844	1472367.562	598662.8537	276405.6058	1424570.026	1297260.021	764584.5064	1002497.876	383948.2642	570333.3853	379727.3585	403006.1642	1407040.71	1476858.413	444619.9969	381738.7565	748752.3395	496125.9004	1564404.868	799191.2211	353427.2932	818603.7329	549561.4341	283938.2056	2036278.147	365911.8266	798180.4182	525022.3706	926806.1552	653413.7144	659798.4577	374033.193	647653.8232	538293.1645	601256.7584	141393.6701	1280883.301	2065653.871	184243.8592	1192932.234	632860.0793	426325.2415	788494.3709	656582.1757	376054.1832	583987.8021	357050.7567	1229982.834	1305708.201	426622.3079	364161.5405	700196.488	361463.9866	614178.1873	315744.3078	283768.6682	667598.7001	546116.7307	609384.3694	1368233.872	363836.6398	742109.3251	285723.3567	753664.0804	373145.6287	1052468.709	700148.4896	1079149.386	232568.6854	546158.6972	978345.7825	398496.277	483209.1741	563804.4307	603608.8278	413684.9823	812362.9964	420366.096	832467.4226	1076006.051	1035015.455	960379.7044	364487.5927	1456494.77	1737514.179	987734.0095	602682.7847	357522.3978	1128851.647	466124.7814	541017.7943	397242.245	431319.0257	555501.869	276930.9378	593577.1334	329530.7499	967159.8773	1254458.827	490604.5982	540668.2264	467243.6656	1392534.818	317354.2593	542084.8004	836469.3487	675271.5403	738565.9724	783582.1186	392441.9552	627062.0481	254502.653	203288.8609	320792.9587	467704.2815	824951.804	294742.6088	228444.1321	961019.6136	790516.7412	446741.6132	709341.4364	403351.6998	669582.0141	225168.9963	568446.5122	488376.2813	1417661.632	1050497.472
AAT	2022637.682	932859.2126	152451.0668	37966.11058	697745.0651	505762.27	691431.6987	901195.3288	979414.5479	127726.9442	1652946.157	2083423.952	1104808.842	151627.9964	601893.5412	577275.6032	628322.4748	943334.3588	2350228.047	326809.9585	2384529.268	603611.129	530339.3457	3287493.702	771653.39	807743.483	1398597.199	529436.7151	509312.4894	1452541.508	1449992.06	550825.7925	895926.9808	898557.5926	2033108.122	686498.9271	324675.136	533135.3726	181466.1786	806399.0759	272621.8519	96152.06891	506644.369	744886.629	788895.854	437882.5613	1144712.45	988083.48	1375918.99	806941.2527	206710.976	781477.505	659537.5571	1343532.128	799400.9657	146276.1363	1463392.734	741371.8134	178631.9429	683741.5818	466454.6372	455666.5841	518536.0331	229038.1791	810372.0779	3929274.289	1999296.927	1569462.242	367304.4756	839533.9546	1543552.037	179400.1859	909510.7409	1111052.232	625048.3081	714161.517	1689006.021	626413.2311	1519662.087	490414.1533	3465167.21	1215159.65	538400.9313	1006993.088	367518.3655	989690.5516	673512.3525	206435.7616	42147.27186	924290.9168	739484.0426	1474715.911	586876.6608	1016251.239	570646.3551	850569.4837	1143600.448	540640.0337	579539.9099	7430.823877	537988.3588	967236.6528	565335.0699	932908.4532	2756023.827	85498.31576	194583.8582	1022472.655	741055.6803	433461.2976	646465.8298	265365.1278	210304.7879	564531.0508	310161.6415	362181.2362	2525233.369	826014.5392	792711.2031	573369.4174	1014919.147	1024583.697	433095.1347	467709.287	307651.2375	533246.0506	1673977.83	1012964.16	510455.5668	568987.6842	199051.1347	451855.2877	1346420.045	1175989.599	1925230.949
ABRACL	977.2377238	3487.208065	409.5613149	603.5620288	712.270716	2563.126451	529.1257228	1473.521076	820.4841767	294.6310757	401.1334454	345.3693717	120.1381659	773.0604034	314.5256774	439.193414	1383.49513	356.7577816	2789.08748	1375.119928	523.2534923	545.619907	1556.988324	508.0829365	333.7123004	502.3803316	398.5580622	437.5744138	308.9779912	172.2105124	756.922378	4874.093834	1493.313039	555.9994598	331.9554199	687.9418002	2533.135825	2235.166581	455.4715172	1381.203519	1875.964979	1079.464774	612.8247611	3065.227056	786.3063914	622.9046543	618.6399584	1232.054953	6991.394848	628.8014277	918.3370006	1552.15541	568.7591308	712.1255124	1526.165803	784.7681666	2703.217987	231.290412	1849.38394	844.1989748	630.5608923	711.52124	2693.419123	392.2001905	1836.400341	1102.808808	7551.205164	181.2788887	319.7250745	1868.171737	604.2655566	4063.399085	5544.97519	935.0520875	3258.159554	686.4837923	6737.835262	547.1781784	290.8829218	6075.854894	356.3676619	44.61039289	3031.236476	2177.738889	665.685814	1162.200335	879.3299856	409.6340863	3395.535876	714.762657	842.3087419	475.4420304	518.9190211	130.6605157	413.2394289	1571.77214	2672.042242	408.0230203	470.9452875	179.1984294	443.8292277	1089.226249	2298.108774	1523.846606	721.296399	181.5997312	967.1588675	542.9478274	443.6570399	332.5383173	794.2063992	1515.776973	576.9275537	1070.825482	170.7471666	332.6426144	2716.15804	5338.771583	647.29935	296.1037994	893.5462779	2091.747144	590.1841696	1048.606792	1729.137356	3658.801672	112.8080898	1801.59808	641.3188224	498.8568667	470.0231314	522.5708694	1209.311363	1574.710448	409.0016091
ACAA2	2915.691812	240.5709208	500.340384	133.5400213	2699.854379	2215.357631	306.8162093	315.4135407	217.0226526	659.5038341	4633.721239	4288.824689	283.6233811	2009.005307	3682.838607	2935.820404	4317.470934	3866.001655	1824.969136	351.3604936	670.2482057	103.0849313	302.1140028	2782.72514	9522.195871	2023.885868	2333.110675	2298.551635	2322.069697	171.999694	4716.595684	178.7411135	2228.809659	3772.92731	5260.188192	1443.636821	3250.471501	192.3082705	110.9802493	379.4354055	1357.521385	2099.126405	14.872776	3075.561288	79.28171011	44.77571271	316.3528426	302.3183543	282.528105	174.1765413	2143.930465	3660.530246	3570.297974	4366.496535	9.855502434	86.39124584	89.18214029	4421.392356	1658.602136	295.6707258	1680.358703	72.74129274	870.7735146	1578.500826	291.3851285	3263.571519	967.8299227	14243.79197	388.2927139	1502.275244	28.40161572	2004.303877	155.0041133	4731.047269	163.5861133	478.476697	182.7976588	204.4841123	291.781964	74.58880192	3607.655338	306.8495127	27.08921341	271.6593019	1366.624045	382.7410617	212.6195674	251.5683547	1753.212965	234.6625637	5121.415095	4757.092556	184.5110563	225.9283269	2212.505874	1142.629684	240.5909024	319.102206	109.3001324	513.0744962	288.2545235	3670.230282	167.2582939	499.4499368	5711.501298	316.7782921	1641.724601	67.32711449	109.4612593	42.96215184	254.6917134	82.32769863	662.2854202	392.7441596	269.8947464	175.3043308	3912.026126	1403.600032	268.2335012	519.3100337	4598.451599	195.5056106	261.2350089	3145.474432	3878.106452	249.3668936	5081.321703	2172.06036	182.9931686	414.8438062	264.6006573	159.9367276	3365.929864	2540.580549	1810.606584
ACTA2	54074.64243	2080.434093	1753.455959	36654.30194	42198.89555	36843.54856	994.1074704	8271.549627	40609.79601	805.037941	2440.209064	2443.952991	36888.3017	1888.42251	1867.120288	34248.23098	60478.53196	1554.046611	1981.293795	1964.297116	50321.23468	15587.28986	3873.821868	10494.30075	50264.35033	2559.04929	2682.374671	52644.79543	29898.37905	2017.414491	21960.48719	1881.132428	50891.6593	1970.835693	43602.18854	6973.485396	2535.100296	28731.02993	3492.806488	3532.794339	2094.425381	1478.453425	1011.732837	2075.334728	42639.75889	1743.664643	1516.768897	1570.514699	61518.75217	3104.409135	4202.6965	15592.66365	60065.58979	45529.1227	1323.545623	6683.828266	1958.093743	41726.05972	4025.546086	2120.597793	2227.481431	3864.649175	3468.322458	4250.602368	4042.975708	3033.611409	104532.0151	43288.40669	1435.380509	2365.32936	5365.069185	2155.060297	2102.782969	60937.98307	2216.317508	3447.768111	13863.41267	1157.722498	1868.694582	2102.445343	151.9570162	10859.5591	3274.091306	2014.462215	1305.168393	55405.13798	1483.10263	3533.851351	8402.044084	1904.264413	3077.100887	2499.949419	1467.869737	1337.983844	1408.596473	20740.41642	17435.69075	2674.957658	6072.537758	1082.216007	2497.455055	2755.109741	2086.879784	37843.95816	2806.950914	2206.344245	889.4514358	2032.892216	38601.68277	26294.5404	1109.913192	1570.728318	1621.336713	24874.553	33004.32907	1439.271731	3188.678878	18684.37221	2917.910546	2016.488887	8067.767259	4667.913106	1909.236596	1429.347462	38004.5497	15118.27849	2052.706788	3177.160375	20547.019	1618.827212	40758.81309	22238.88721	2807.915626	1917.465174	1324.068522
ACTB	63124.51641	119612.8275	96067.20875	100845.432	75650.9941	83717.0062	52697.78452	91121.12636	109744.9843	52142.89089	118633.0664	152842.0036	70010.93434	118223.8555	169895.0401	84620.45485	294969.8269	128031.6784	212716.0239	76075.20521	565707.6245	367581.7157	313375.7786	309778.3191	155453.1203	88478.56826	212526.9659	233211.4731	63878.81192	119655.2971	434616.2285	252028.395	358035.7741	194372.6827	181589.0231	258723.9564	279131.5394	131699.4304	216124.3726	202780.5198	107280.4739	60343.97446	68772.83318	107888.3932	156336.1934	73755.57486	102806.0862	79649.97508	187628.4963	300854.1996	194439.9928	261937.9737	248204.1651	126152.7858	72535.09804	731272.7312	159905.5237	47150.16568	248705.5264	141303.7287	109135.4919	127807.218	334770.243	335129.8413	346979.403	212953.136	788140.1378	147185.9208	105561.5804	158715.4492	128318.2237	122580.608	161529.9152	148020.5852	155270.5225	71955.6444	390502.346	77215.73773	71124.61216	150938.4229	53765.79973	216678.2187	237314.5811	98411.98276	77239.71765	171800.3309	110588.5404	100483.9579	171798.6293	126598.4521	225262.2269	212607.1058	90756.46336	81035.2803	74261.84097	177756.0071	264254.6238	177417.6421	217118.6636	84992.57903	133930.8688	228861.2792	122580.1696	154756.3916	158367.3022	107240.2922	42413.12693	90209.94321	104729.4304	40532.89357	48188.90772	79990.32317	76800.56266	113407.8995	50065.64443	100074.9292	295599.2841	683237.1377	322049.9428	108638.5166	529574.4524	379811.3203	116173.0207	105247.8575	177999.9179	503587.438	65663.25558	319980.0159	51231.86852	94275.00687	180019.613	130120.9045	232662.0753	201455.8913	76959.46503
ACTG1	2.302724648	5391.459102	66967.47259	1266.863033	199.6077421	2049.938837	4678.253261	54.32386199	146.833852	242.0000318	118.504281	217.3499134	110.3922144	214.0335308	206.6070767	197.1749771	35324.06614	300.7203991	4774.043544	7782.212341	152787.2626	12795.54609	19684.36264	127.9450672	244.8086917	8317.476099	2171.333087	1386.688358	128.6190635	67.39449869	1607.32876	26778.91764	11287.60338	2710.655489	48184.78409	51.00559436	20832.86808	26973.47956	2858.244307	1688.106969	24968.48092	120.3374885	1.762774999	21068.12436	15.13219754	48.55001411	0.455006907	5854.046053	11794.89643	627.7163091	3499.624699	60067.13278	30961.00045	26245.03571	2615.274183	69686.92666	22601.24976	1390.999165	29647.08992	297.2938214	31028.00417	1418.72351	14712.27009	3051.346772	23016.3386	373.4355325	313863.7984	355.8487333	47.78529698	13436.40764	201.7019198	11677.18656	1864.972006	725.6888451	29050.14028	46.86339438	89968.63599	1697.328012	192.9835653	9947.652668	4992.98539	77747.28739	26413.19274	12765.80141	26.88767287	193.9062006	450.5762953	96.21882577	68870.3706	2519.654156	75.68396777	6306.996468	116.5999681	253.0906336	338.0412316	34350.69171	36853.91922	20201.79463	41.66777376	18837.84796	20196.54453	14128.83087	45574.68739	40716.87023	143.3013928	178.1106939	156.2478767	2658.472173	62.90685284	141.4200034	189.1605889	5264.101896	4223.575104	10090.9637	36.58869813	137.4861033	278.4432104	41435.39055	104094.1495	232.0856497	2037.268251	33014.0479	435.398402	4539.302979	1321.070753	4502.765469	118.9704387	29941.33898	138.1297292	176.0876662	47314.13468	11997.51886	25605.89898	19492.49251	2175.599011
ACTN3	234393.0374	90668.46499	10648.4304	116345.4794	353648.5621	30563.78063	15362.40746	222091.0793	376017.9531	76661.52569	253173.8302	101965.0446	447495.3824	27254.74138	333346.0624	220163.4535	50726.9444	155326.5925	50455.36741	41778.75991	2823.074644	48820.85734	61646.37664	315566.6326	337316.7748	80542.27931	77625.98395	77369.21309	170402.9304	255244.6948	385933.5018	49604.90697	73031.03722	110325.9963	20240.05416	255970.1812	56486.75602	5225.383617	37849.21373	192138.0107	24261.08834	56989.14825	180537.5814	50144.95429	305811.87	484751.9681	27497.28828	132130.1382	57058.38411	357150.6373	29759.42725	30375.80601	80220.52737	32911.20661	296135.7315	23081.24077	59653.94839	100209.6445	7542.599302	49846.00599	44348.14684	31884.55642	21302.83961	31407.61712	55030.52836	368823.138	10425.20939	237182.1856	182655.01	36264.95379	60639.25674	46205.23865	30097.06177	184774.3342	65854.35729	99332.80493	55935.91046	134195.3132	221401.707	36087.08347	61.04587929	611.3486241	108295.7199	35824.65052	124751.7234	238252.0876	548763.8648	177310.9232	505.9253289	225401.6639	462319.4298	114609.8846	86023.45526	32388.83733	214963.1736	35705.70516	21526.1701	39050.74902	33143.36743	36156.38023	23962.25681	148245.0174	28127.41091	40586.84847	116347.9681	112089.5463	70532.46157	83390.49144	277591.4429	187074.1261	8482.33608	67446.65853	55195.81561	47376.93672	37015.73512	22002.12381	71183.31105	16360.98674	51711.52569	59798.72194	231698.9852	87535.23972	153850.5217	104838.4061	224828.3391	36798.91323	745072.8462	107563.5269	105492.3385	70613.83057	53389.90013	52708.25575	56132.31424	58784.70527	92332.94293
ADA2	1318.60743	217.8824307	535.8964008	708.1085726	850.1957206	319.6777376	131.5819174	1292.662682	771.8582875	264.6326527	1446.325333	3321.6066	531.9232942	1128.293926	120.3845424	558.4374962	1456.543749	717.8338326	4339.268461	2719.377495	4578.551834	759.1928605	2487.697929	3005.400704	2538.670041	691.9029823	216.9236188	500.5277836	1720.100435	101.2501913	660.0101043	1841.3598	2062.956936	2983.430016	1955.983561	3327.119226	1549.103701	2593.287839	7976.382173	1806.573805	1307.151187	744.9359175	243.193819	1157.281647	62.90658569	250.4787571	567.5021017	743.0060964	970.7429033	3045.117348	338.2189332	9633.878742	1245.173791	794.9737873	918.0406608	1643.419244	1936.090546	234.0893154	2248.849548	1138.184632	642.6188068	1193.091323	2423.084431	609.2545961	2124.018961	1971.122359	3503.374571	1560.357961	837.6561399	950.7191281	998.3539584	126.0492689	763.6272447	470.0673491	83.40313451	319.3619696	11157.23631	168.1196822	2721.344337	118.2457022	1797.668775	1463.083903	934.9821985	163.6786621	602.3634825	123.5941685	874.5126088	517.4594708	1526.551906	749.2636679	102.5214426	2245.995933	1685.906662	71.19208035	412.1021825	1828.1724	2971.368151	1679.585787	453.1101734	893.861837	552.1750507	3143.788832	253.2356346	2153.96752	4112.534482	119.8573596	1909.455298	1603.500324	802.2174689	121.1769105	661.4144893	969.9526789	2186.419823	711.8596309	521.9824152	98.13410905	2858.867675	959.2470528	2047.507442	1737.377014	1921.775159	2553.165424	625.6235795	74.15837049	2535.849447	242.756548	169.3026111	3641.49152	412.6453483	102.1490034	746.8522349	3722.290327	1919.988787	5603.674884	1965.679422
